63,78
63,78
63,78
63,78
63,78
63,78
63,78
63,78
63,78
63,78
64,78
64,78
64,78
64,78
64,78
64,78
64,78
65,79
65,79
65,79
65,79
65,79
65,79
65,78
65,78
65,78
65,78
65,78
65,78
66,78
66,78
66,78
66,78
66,78
66,78
66,78
66,78
66,78
66,78
66,78
66,78
66,78
67,78
67,78
67,78
67,78
67,78
67,78
68,78
68,78
68,78
68,78
68,78
68,78
68,78
68,78
68,78
68,78
68,78
68,78
68,78
69,78
69,78
69,78
69,78
69,78
69,78
70,78
70,78
70,78
70,78
70,78
70,78
70,79
70,79
70,79
70,79
70,79
70,79
70,79
71,78
71,78
71,78
71,78
71,78
71,78
72,78
72,78
72,78
72,78
72,78
72,78
72,78
72,78
72,78
72,78
72,78
72,78
72,78
73,78
73,78
73,78
73,78
73,78
73,78
73,79
73,79
73,79
73,79
73,79
73,79
74,78
74,78
74,78
74,78
74,78
74,78
75,78
75,78
75,78
75,78
75,78
75,78
75,78
75,78
75,78
75,78
75,78
75,78
75,78
76,78
76,78
76,78
76,78
76,78
76,78
77,78
77,78
77,78
77,78
77,78
77,78
77,78
77,78
77,78
77,78
77,78
77,78
77,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
79,78
79,78
79,78
79,78
79,78
79,78
80,78
80,78
80,78
80,78
80,78
80,78
80,79
80,79
80,79
80,79
80,79
80,79
80,79
81,79
81,79
81,79
81,79
81,79
81,79
82,78
82,78
82,78
82,78
82,78
82,78
82,79
82,79
82,79
82,79
82,79
82,79
83,79
83,79
83,79
83,79
83,79
83,79
83,79
84,78
84,78
84,78
84,78
84,78
84,78
84,78
84,78
84,78
84,78
84,78
84,78
85,78
85,78
85,78
85,78
85,78
85,78
85,78
85,78
85,78
85,78
85,78
85,78
85,78
86,79
86,79
86,79
86,79
86,79
86,79
87,78
87,78
87,78
87,78
87,78
87,78
87,78
87,78
87,78
87,78
87,78
87,78
87,78
88,78
88,78
88,78
88,78
88,78
88,78
89,78
89,78
89,78
89,78
89,78
89,78
89,78
89,78
89,78
89,78
89,78
89,78
89,78
90,78
90,78
90,78
90,78
90,78
90,78
90,78
90,78
90,78
90,78
90,78
90,78
91,78
91,78
91,78
91,78
91,78
91,78
91,78
92,79
92,79
92,79
92,79
92,79
92,79
92,78
92,78
92,78
92,78
92,78
92,78
93,78
93,78
93,78
93,78
93,78
93,78
93,78
94,78
94,78
94,78
94,78
94,78
94,78
94,78
94,78
94,78
94,78
94,78
94,78
95,78
95,78
95,78
95,78
95,78
95,78
96,78
96,78
96,78
96,78
96,78
96,78
96,78
96,78
96,78
96,78
96,78
96,78
96,78
97,78
97,78
97,78
97,78
97,78
97,78
97,78
97,78
97,78
97,78
97,78
97,78
97,78
98,78
98,78
98,78
98,78
98,78
98,78
99,78
99,78
99,78
99,78
99,78
99,78
99,78
99,78
99,78
99,78
99,78
99,78
100,78
100,78
100,78
100,78
100,78
100,78
100,78
101,78
101,78
101,78
101,78
101,78
101,78
101,78
101,78
101,78
101,78
101,78
101,78
102,78
102,78
102,78
102,78
102,78
102,78
102,78
102,78
102,78
102,78
102,78
102,78
102,78
103,78
103,78
103,78
103,78
103,78
103,78
104,78
104,78
104,78
104,78
104,78
104,78
104,78
104,78
104,78
104,78
104,78
104,78
104,78
105,78
105,78
105,78
105,78
105,78
105,78
106,79
106,79
106,79
106,79
106,79
106,79
106,79
106,79
106,79
106,79
106,79
106,79
106,79
107,79
107,79
107,79
107,79
107,79
107,79
108,78
108,78
108,78
108,78
108,78
108,78
108,78
108,78
108,78
108,78
108,78
108,78
108,78
109,78
109,78
109,78
109,78
109,78
109,78
109,78
109,78
109,78
109,78
109,78
109,78
110,79
110,79
110,79
110,79
110,79
110,79
110,79
111,78
111,78
111,78
111,78
111,78
111,78
111,78
111,78
111,78
111,78
111,78
111,78
112,78
112,78
112,78
112,78
112,78
112,78
113,79
113,79
113,79
113,79
113,79
113,79
113,79
113,78
113,78
113,78
113,78
113,78
113,78
114,79
114,79
114,79
114,79
114,79
114,79
114,78
114,78
114,78
114,78
114,78
114,78
114,78
115,78
115,78
115,78
115,78
115,78
115,78
116,78
116,78
116,78
116,78
116,78
116,78
116,79
116,79
116,79
116,79
116,79
116,79
117,78
117,78
117,78
117,78
117,78
117,78
117,78
118,79
118,79
118,79
118,79
118,79
118,79
118,78
118,78
118,78
118,78
118,78
118,78
119,79
119,79
119,79
119,79
119,79
119,79
119,79
120,78
120,78
120,78
120,78
120,78
120,78
120,78
120,78
120,78
120,78
120,78
120,78
121,79
121,79
121,79
121,79
121,79
121,79
121,79
121,78
121,78
121,78
121,78
121,78
121,78
122,78
122,78
122,78
122,78
122,78
122,78
123,78
123,78
123,78
123,78
123,78
123,78
123,79
123,79
123,79
123,79
123,79
123,79
123,79
124,79
124,79
124,79
124,79
124,79
124,79
125,78
125,78
125,78
125,78
125,78
125,78
125,78
125,78
125,78
125,78
125,78
125,78
125,78
126,79
126,79
126,79
126,79
126,79
126,79
126,78
126,78
126,78
126,78
126,78
126,78
127,79
127,79
127,79
127,79
127,79
127,79
128,78
128,78
128,78
128,78
128,78
128,78
128,78
128,78
128,78
128,78
128,78
128,78
128,78
129,79
129,79
129,79
129,79
129,79
129,79
130,78
130,78
130,78
130,78
130,78
130,78
130,78
130,79
130,79
130,79
130,79
130,79
130,79
131,78
131,78
131,78
131,78
131,78
131,78
131,78
131,78
131,78
131,78
131,78
131,78
131,78
132,78
132,78
132,78
132,78
132,78
132,78
133,78
133,78
133,78
133,78
133,78
133,78
133,78
133,78
133,78
133,78
133,78
133,78
134,79
134,79
134,79
134,79
134,79
134,79
134,79
135,78
135,78
135,78
135,78
135,78
135,78
135,79
135,79
135,79
135,79
135,79
135,79
136,79
136,79
136,79
136,79
136,79
136,79
136,79
137,78
137,78
137,78
137,78
137,78
137,78
137,78
137,78
137,78
137,78
137,78
137,78
138,78
138,78
138,78
138,78
138,78
138,78
138,78
138,78
138,78
138,78
138,78
138,78
138,78
139,78
139,78
139,78
139,78
139,78
139,78
140,78
140,78
140,78
140,78
140,78
140,78
140,78
140,78
140,78
140,78
140,78
140,78
140,78
141,78
141,78
141,78
141,78
141,78
141,78
142,78
142,78
142,78
142,78
142,78
142,78
142,78
142,78
142,78
142,78
142,78
142,78
142,78
143,78
143,78
143,78
143,78
143,78
143,78
143,78
143,78
143,78
143,78
143,78
143,78
144,78
144,78
144,78
144,78
144,78
144,78
145,78
145,78
145,78
145,78
145,78
145,78
145,78
145,78
145,78
145,78
145,78
145,78
145,78
146,78
146,78
146,78
146,78
146,78
146,78
147,78
147,78
147,78
147,78
147,78
147,78
147,78
147,78
147,78
147,78
147,78
147,78
147,78
148,78
148,78
148,78
148,78
148,78
148,78
149,78
149,78
149,78
149,78
149,78
149,78
149,78
149,78
149,78
149,78
149,78
149,78
149,78
150,78
150,78
150,78
150,78
150,78
150,78
150,78
150,78
150,78
150,78
150,78
150,78
151,78
151,78
151,78
151,78
151,78
151,78
151,78
152,78
152,78
152,78
152,78
152,78
152,78
152,78
152,78
152,78
152,78
152,78
152,78
153,78
153,78
153,78
153,78
153,78
153,78
153,78
154,78
154,78
154,78
154,78
154,78
154,78
154,78
154,78
154,78
154,78
154,78
154,78
155,78
155,78
155,78
155,78
155,78
155,78
155,78
155,78
155,78
155,78
155,78
155,78
155,78
156,79
156,79
156,79
156,79
156,79
156,79
157,79
157,79
157,79
157,79
157,79
157,79
157,78
157,78
157,78
157,78
157,78
157,78
157,78
158,79
158,79
158,79
158,79
158,79
158,79
159,78
159,78
159,78
159,78
159,78
159,78
159,79
159,79
159,79
159,79
159,79
159,79
160,78
160,78
160,78
160,78
160,78
160,78
160,78
161,78
161,78
161,78
161,78
161,78
161,78
161,78
161,78
161,78
161,78
161,78
161,78
162,78
162,78
162,78
162,78
162,78
162,78
162,78
162,78
162,78
162,78
162,78
162,78
162,78
163,79
163,79
163,79
163,79
163,79
163,79
164,78
164,78
164,78
164,78
164,78
164,78
164,78
164,78
164,78
164,78
164,78
164,78
164,78
165,79
165,79
165,79
165,79
165,79
165,79
166,78
166,78
166,78
166,78
166,78
166,78
166,78
166,78
166,78
166,78
166,78
166,78
166,78
167,79
167,79
167,79
167,79
167,79
167,79
167,78
167,78
167,78
167,78
167,78
167,78
168,78
168,78
168,78
168,78
168,78
168,78
168,78
169,78
169,78
169,78
169,78
169,78
169,78
169,78
169,78
169,78
169,78
169,78
169,78
170,78
170,78
170,78
170,78
170,78
170,78
170,78
171,78
171,78
171,78
171,78
171,78
171,78
171,78
171,78
171,78
171,78
171,78
171,78
172,78
172,78
172,78
172,78
172,78
172,78
173,78
173,78
173,78
173,78
173,78
173,78
173,78
173,78
173,78
173,78
173,78
173,78
173,78
174,78
174,78
174,78
174,78
174,78
174,78
174,78
174,78
174,78
174,78
174,78
174,78
174,78
175,78
175,78
175,78
175,78
175,78
175,78
176,78
176,78
176,78
176,78
176,78
176,78
176,78
176,78
176,78
176,78
176,78
176,78
176,78
177,78
177,78
177,78
177,78
177,78
177,78
178,78
178,78
178,78
178,78
178,78
178,78
178,78
178,78
178,78
178,78
178,78
178,78
179,78
179,78
179,78
179,78
179,78
179,78
179,78
179,78
179,78
179,78
179,78
179,78
179,78
180,78
180,78
180,78
180,78
180,78
180,78
181,79
181,79
181,79
181,79
181,79
181,79
181,79
181,78
181,78
181,78
181,78
181,78
181,78
182,79
182,79
182,79
182,79
182,79
182,79
183,78
183,78
183,78
183,78
183,78
183,78
183,78
183,78
183,78
183,78
183,78
183,78
183,78
184,78
184,78
184,78
184,78
184,78
184,78
184,78
184,78
184,78
184,78
184,78
184,78
185,78
185,78
185,78
185,78
185,78
185,78
185,78
186,78
186,78
186,78
186,78
186,78
186,78
186,78
186,78
186,78
186,78
186,78
186,78
187,78
187,78
187,78
187,78
187,78
187,78
187,78
188,78
188,78
188,78
188,78
188,78
188,78
188,78
188,78
188,78
188,78
188,78
188,78
189,79
189,79
189,79
189,79
189,79
189,79
190,78
190,78
190,78
190,78
190,78
190,78
190,78
190,78
190,78
190,78
190,78
190,78
190,78
191,78
191,78
191,78
191,78
191,78
191,78
191,78
191,78
191,78
191,78
191,78
191,78
191,78
192,78
192,78
192,78
192,78
192,78
192,78
193,78
193,78
193,78
193,78
193,78
193,78
193,78
193,78
193,78
193,78
193,78
193,78
193,78
194,78
194,78
194,78
194,78
194,78
194,78
195,78
195,78
195,78
195,78
195,78
195,78
195,78
195,78
195,78
195,78
195,78
195,78
196,78
196,78
196,78
196,78
196,78
196,78
196,78
196,78
196,78
196,78
196,78
196,78
196,78
197,78
197,78
197,78
197,78
197,78
197,78
198,78
198,78
198,78
198,78
198,78
198,78
198,78
198,78
198,78
198,78
198,78
198,78
198,78
199,78
199,78
199,78
199,78
199,78
199,78
200,78
200,78
200,78
200,78
200,78
200,78
200,78
200,78
200,78
200,78
200,78
200,78
200,78
201,78
201,78
201,78
201,78
201,78
201,78
202,78
202,78
202,78
202,78
202,78
202,78
202,78
202,78
202,78
202,78
202,78
202,78
202,78
203,78
203,78
203,78
203,78
203,78
203,78
203,78
203,78
203,78
203,78
203,78
203,78
204,78
204,78
204,78
204,78
204,78
204,78
204,78
205,78
205,78
205,78
205,78
205,78
205,78
205,79
205,79
205,79
205,79
205,79
205,79
206,78
206,78
206,78
206,78
206,78
206,78
207,78
207,78
207,78
207,78
207,78
207,78
207,78
207,78
207,78
207,78
207,78
207,78
207,78
208,78
208,78
208,78
208,78
208,78
208,78
208,78
208,78
208,78
208,78
208,78
208,78
208,78
209,78
209,78
209,78
209,78
209,78
209,78
210,78
210,78
210,78
210,78
210,78
210,78
210,78
210,78
210,78
210,78
210,78
210,78
210,78
211,78
211,78
211,78
211,78
211,78
211,78
212,78
212,78
212,78
212,78
212,78
212,78
212,78
212,78
212,78
212,78
212,78
212,78
213,79
213,79
213,79
213,79
213,79
213,79
213,79
214,78
214,78
214,78
214,78
214,78
214,78
214,79
214,79
214,79
214,79
214,79
214,79
215,78
215,78
215,78
215,78
215,78
215,78
215,78
215,78
215,78
215,78
215,78
215,78
215,78
216,78
216,78
216,78
216,78
216,78
216,78
217,78
217,78
217,78
217,78
217,78
217,78
217,78
217,78
217,78
217,78
217,78
217,78
217,78
218,78
218,78
218,78
218,78
218,78
218,78
219,78
219,78
219,78
219,78
219,78
219,78
219,78
219,78
219,78
219,78
219,78
219,78
219,78
220,78
220,78
220,78
220,78
220,78
220,78
220,78
220,78
220,78
220,78
220,78
220,78
221,79
221,79
221,79
221,79
221,79
221,79
221,79
222,78
222,78
222,78
222,78
222,78
222,78
222,78
222,78
222,78
222,78
222,78
222,78
223,78
223,78
223,78
223,78
223,78
223,78
224,78
224,78
224,78
224,78
224,78
224,78
224,78
224,78
224,78
224,78
224,78
224,78
224,78
225,78
225,78
225,78
225,78
225,78
225,78
226,78
226,78
226,78
226,78
226,78
226,78
226,78
226,78
226,78
226,78
226,78
226,78
226,78
227,78
227,78
227,78
227,78
227,78
227,78
227,78
227,78
227,78
227,78
227,78
227,78
227,78
228,78
228,78
228,78
228,78
228,78
228,78
229,78
229,78
229,78
229,78
229,78
229,78
229,78
229,78
229,78
229,78
229,78
229,78
230,78
230,78
230,78
230,78
230,78
230,78
230,78
231,78
231,78
231,78
231,78
231,78
231,78
231,78
231,78
231,78
231,78
231,78
231,78
232,78
232,78
232,78
232,78
232,78
232,78
232,78
232,78
232,78
232,78
232,78
232,78
232,78
233,79
233,79
233,79
233,79
233,79
233,79
234,78
234,78
234,78
234,78
234,78
234,78
234,78
234,78
234,78
234,78
234,78
234,78
234,78
235,78
235,78
235,78
235,78
235,78
235,78
236,78
236,78
236,78
236,78
236,78
236,78
236,78
236,78
236,78
236,78
236,78
236,78
236,78
237,78
237,78
237,78
237,78
237,78
237,78
237,78
237,78
237,78
237,78
237,78
237,78
238,78
238,78
238,78
238,78
238,78
238,78
238,78
239,78
239,78
239,78
239,78
239,78
239,78
239,78
239,78
239,78
239,78
239,78
239,78
240,78
240,78
240,78
240,78
240,78
240,78
241,78
241,78
241,78
241,78
241,78
241,78
241,78
241,78
241,78
241,78
241,78
241,78
241,78
242,78
242,78
242,78
242,78
242,78
242,78
243,78
243,78
243,78
243,78
243,78
243,78
243,78
243,78
243,78
243,78
243,78
243,78
243,78
244,79
244,79
244,79
244,79
244,79
244,79
244,78
244,78
244,78
244,78
244,78
244,78
245,78
245,78
245,78
245,78
245,78
245,78
245,78
246,78
246,78
246,78
246,78
246,78
246,78
246,78
246,78
246,78
246,78
246,78
246,78
247,78
247,78
247,78
247,78
247,78
247,78
247,78
248,79
248,79
248,79
248,79
248,79
248,79
248,78
248,78
248,78
248,78
248,78
248,78
249,78
249,78
249,78
249,78
249,78
249,78
249,78
249,78
249,78
249,78
249,78
249,78
249,78
250,78
250,78
250,78
250,78
250,78
250,78
251,78
251,78
251,78
251,78
251,78
251,78
251,78
251,78
251,78
251,78
251,78
251,78
251,78
252,78
252,78
252,78
252,78
252,78
252,78
253,78
253,78
253,78
253,78
253,78
253,78
253,78
253,78
253,78
253,78
253,78
253,78
253,78
254,78
254,78
254,78
254,78
254,78
254,78
255,78
255,78
255,78
255,78
255,78
255,78
255,78
255,78
255,78
255,78
255,78
255,78
256,78
256,78
256,78
256,78
256,78
256,78
256,78
256,78
256,78
256,78
256,78
256,78
256,78
257,78
257,78
257,78
257,78
257,78
257,78
258,78
258,78
258,78
258,78
258,78
258,78
258,78
258,78
258,78
258,78
258,78
258,78
258,78
259,78
259,78
259,78
259,78
259,78
259,78
260,78
260,78
260,78
260,78
260,78
260,78
260,78
260,78
260,78
260,78
260,78
260,78
260,78
261,78
261,78
261,78
261,78
261,78
261,78
261,78
261,78
261,78
261,78
261,78
261,78
262,78
262,78
262,78
262,78
262,78
262,78
262,78
263,78
263,78
263,78
263,78
263,78
263,78
263,78
263,78
263,78
263,78
263,78
263,78
264,78
264,78
264,78
264,78
264,78
264,78
264,78
265,78
265,78
265,78
265,78
265,78
265,78
265,78
265,78
265,78
265,78
265,78
265,78
266,78
266,78
266,78
266,78
266,78
266,78
266,78
267,78
267,78
267,78
267,78
267,78
267,78
267,78
267,78
267,78
267,78
267,78
267,78
268,78
268,78
268,78
268,78
268,78
268,78
268,78
268,78
268,78
268,78
268,78
268,78
268,78
269,78
269,78
269,78
269,78
269,78
269,78
270,78
270,78
270,78
270,78
270,78
270,78
270,78
270,78
270,78
270,78
270,78
270,78
270,78
271,78
271,78
271,78
271,78
271,78
271,78
272,78
272,78
272,78
272,78
272,78
272,78
272,78
272,78
272,78
272,78
272,78
272,78
273,78
273,78
273,78
273,78
273,78
273,78
273,78
273,78
273,78
273,78
273,78
273,78
273,78
274,78
274,78
274,78
274,78
274,78
274,78
275,78
275,78
275,78
275,78
275,78
275,78
275,78
275,78
275,78
275,78
275,78
275,78
275,78
276,78
276,78
276,78
276,78
276,78
276,78
277,78
277,78
277,78
277,78
277,78
277,78
277,78
277,78
277,78
277,78
277,78
277,78
277,78
278,78
278,78
278,78
278,78
278,78
278,78
279,78
279,78
279,78
279,78
279,78
279,78
279,78
279,78
279,78
279,78
279,78
279,78
279,78
280,79
280,79
280,79
280,79
280,79
280,79
280,78
280,78
280,78
280,78
280,78
280,78
281,78
281,78
281,78
281,78
281,78
281,78
281,78
282,78
282,78
282,78
282,78
282,78
282,78
282,78
282,78
282,78
282,78
282,78
282,78
283,78
283,78
283,78
283,78
283,78
283,78
283,78
284,78
284,78
284,78
284,78
284,78
284,78
284,78
284,78
284,78
284,78
284,78
284,78
285,78
285,78
285,78
285,78
285,78
285,78
285,78
285,78
285,78
285,78
285,78
285,78
285,78
286,78
286,78
286,78
286,78
286,78
286,78
287,78
287,78
287,78
287,78
287,78
287,78
287,78
287,78
287,78
287,78
287,78
287,78
287,78
288,78
288,78
288,78
288,78
288,78
288,78
289,78
289,78
289,78
289,78
289,78
289,78
289,78
289,78
289,78
289,78
289,78
289,78
289,78
290,77
290,77
290,77
290,77
290,77
290,77
291,78
291,78
291,78
291,78
291,78
291,78
291,78
291,78
291,78
291,78
291,78
291,78
292,78
292,78
292,78
292,78
292,78
292,78
292,78
292,78
292,78
292,78
292,78
292,78
292,78
293,78
293,78
293,78
293,78
293,78
293,78
294,78
294,78
294,78
294,78
294,78
294,78
294,78
294,78
294,78
294,78
294,78
294,78
294,78
295,78
295,78
295,78
295,78
295,78
295,78
296,78
296,78
296,78
296,78
296,78
296,78
296,78
296,78
296,78
296,78
296,78
296,78
296,78
297,78
297,78
297,78
297,78
297,78
297,78
297,78
297,78
297,78
297,78
297,78
297,78
298,78
298,78
298,78
298,78
298,78
298,78
298,78
299,78
299,78
299,78
299,78
299,78
299,78
299,78
299,78
299,78
299,78
299,78
299,78
300,78
300,78
300,78
300,78
300,78
300,78
300,78
301,78
301,78
301,78
301,78
301,78
301,78
301,78
301,78
301,78
301,78
301,78
301,78
302,78
302,78
302,78
302,78
302,78
302,78
302,78
302,78
302,78
302,78
302,78
302,78
302,78
303,78
303,78
303,78
303,78
303,78
303,78
304,78
304,78
304,78
304,78
304,78
304,78
304,78
304,78
304,78
304,78
304,78
304,78
304,78
305,78
305,78
305,78
305,78
305,78
305,78
306,78
306,78
306,78
306,78
306,78
306,78
306,78
306,78
306,78
306,78
306,78
306,78
306,78
307,78
307,78
307,78
307,78
307,78
307,78
308,78
308,78
308,78
308,78
308,78
308,78
308,78
308,78
308,78
308,78
308,78
308,78
309,78
309,78
309,78
309,78
309,78
309,78
309,78
309,78
309,78
309,78
309,78
309,78
309,78
310,78
310,78
310,78
310,78
310,78
310,78
311,79
311,79
311,79
311,79
311,79
311,79
311,79
311,78
311,78
311,78
311,78
311,78
311,78
312,78
312,78
312,78
312,78
312,78
312,78
313,78
313,78
313,78
313,78
313,78
313,78
313,78
313,78
313,78
313,78
313,78
313,78
313,78
314,78
314,78
314,78
314,78
314,78
314,78
314,78
314,78
314,78
314,78
314,78
314,78
315,78
315,78
315,78
315,78
315,78
315,78
315,78
316,78
316,78
316,78
316,78
316,78
316,78
316,78
316,78
316,78
316,78
316,78
316,78
317,78
317,78
317,78
317,78
317,78
317,78
317,78
318,78
318,78
318,78
318,78
318,78
318,78
318,78
318,78
318,78
318,78
318,78
318,78
319,78
319,78
319,78
319,78
319,78
319,78
320,78
320,78
320,78
320,78
320,78
320,78
320,78
320,78
320,78
320,78
320,78
320,78
320,78
321,78
321,78
321,78
321,78
321,78
321,78
321,78
321,78
321,78
321,78
321,78
321,78
321,78
322,78
322,78
322,78
322,78
322,78
322,78
323,78
323,78
323,78
323,78
323,78
323,78
323,78
323,78
323,78
323,78
323,78
323,78
323,78
324,78
324,78
324,78
324,78
324,78
324,78
325,78
325,78
325,78
325,78
325,78
325,78
325,78
325,78
325,78
325,78
325,78
325,78
326,78
326,78
326,78
326,78
326,78
326,78
326,78
326,78
326,78
326,78
326,78
326,78
326,78
327,78
327,78
327,78
327,78
327,78
327,78
328,78
328,78
328,78
328,78
328,78
328,78
328,78
328,78
328,78
328,78
328,78
328,78
328,78
329,78
329,78
329,78
329,78
329,78
329,78
330,78
330,78
330,78
330,78
330,78
330,78
330,78
330,78
330,78
330,78
330,78
330,78
330,78
331,78
331,78
331,78
331,78
331,78
331,78
332,77
332,77
332,77
332,77
332,77
332,77
332,78
332,78
332,78
332,78
332,78
332,78
332,78
333,78
333,78
333,78
333,78
333,78
333,78
333,78
333,78
333,78
333,78
333,78
333,78
334,78
334,78
334,78
334,78
334,78
334,78
334,78
335,79
335,79
335,79
335,79
335,79
335,79
335,77
335,77
335,77
335,77
335,77
335,77
336,78
336,78
336,78
336,78
336,78
336,78
337,78
337,78
337,78
337,78
337,78
337,78
337,78
337,78
337,78
337,78
337,78
337,78
337,78
338,78
338,78
338,78
338,78
338,78
338,78
338,78
338,78
338,78
338,78
338,78
338,78
338,78
339,78
339,78
339,78
339,78
339,78
339,78
340,78
340,78
340,78
340,78
340,78
340,78
340,78
340,78
340,78
340,78
340,78
340,78
340,78
341,78
341,78
341,78
341,78
341,78
341,78
342,78
342,78
342,78
342,78
342,78
342,78
342,78
342,78
342,78
342,78
342,78
342,78
343,78
343,78
343,78
343,78
343,78
343,78
343,78
344,78
344,78
344,78
344,78
344,78
344,78
344,78
344,78
344,78
344,78
344,78
344,78
345,78
345,78
345,78
345,78
345,78
345,78
345,78
345,78
345,78
345,78
345,78
345,78
345,78
346,78
346,78
346,78
346,78
346,78
346,78
347,78
347,78
347,78
347,78
347,78
347,78
347,78
347,78
347,78
347,78
347,78
347,78
347,78
348,78
348,78
348,78
348,78
348,78
348,78
349,78
349,78
349,78
349,78
349,78
349,78
349,78
349,78
349,78
349,78
349,78
349,78
349,78
350,78
350,78
350,78
350,78
